fecha,Price,Open,High,Low,Vol.,DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT,GPRD_MA30,GPRD_MA7,event,GPRC_CHN,GPRC_EGY,GPRC_ISR,GPRC_RUS,GPRC_SAU,GPRC_USA,GPRC_VEN,barcos_panamá,barcos_suez,precioSp,PriceD,OpenSp,OpenD,HighSp,HighD,LowSp,LowD,Vol.SP,Change ,precioDolar,OpenDolar,HighDolar,LowDolar,ChangeDolar,PriceEP,OpenEP,HighEP,LowEP,Vol.EP,ChangeEP,precio_objetivo,fecha_objetivo,Price_lag1,Price_lag2,Pendiente,Alto-Bajo,Bajo-Alto,Price_lag3,media_col1,desv_col1,skew_col1,kurt_col1,cambio_pct,evento_extremo,PrecioEnteroSP,media_sp,desv_sp,skew_sp,kurt_sp,momentum_sp,GPRDCambio,GPRD_extremo,momentum_dolar,momentum_EP,GPRD_Delta,mes,Price_Media_Mes,Price_Media_Mes_Pasado,Vol_WTI,Vol_WTI_extrema,Vol_SP,Vol_SP_extrema,prediccion
2004-01-05,33.78,32.4,33.95,32.27,105.7,20040105.0,840.0,102.53186,141.530197,85.258453,136.509872,163.261536,nan,0.363897,0.158086,0.4325,0.331086,0.181948,2.693432,0.023862,1079,1362,1.0,120.0,1.0,108.75,1.0,121.5,1.0,108.75,609.54,0.99,86.07,86.43,86.69,85.98,-0.98,,,,,,,34.5,2004-01-14,,,,,,,41.71638783269962,5.741636688634947,0.4625495256346349,-0.6876335972201182,,0,1120.0,1132.8954372623575,33.37190602777121,0.5760048259188234,-0.14505891401029958,,,0,,,,2004-01,34.224736842105266,34.224736842105266,,0,,0,35.015026
2004-01-06,33.7,33.76,34.35,33.3,103.41,20040106.0,1058.0,128.369827,106.125351,135.382034,137.086456,154.202911,nan,0.363897,0.158086,0.4325,0.331086,0.181948,2.693432,0.023862,1079,1362,1.0,122.0,1.0,119.75,1.0,123.5,1.0,115.5,520.27,0.18,85.63,86.05,86.11,85.37,-0.51,,,,,,,33.44,2004-01-15,33.78,1.3800000000000026,,1.6799999999999997,-1.6799999999999997,-0.0799999999999983,41.71638783269962,5.741636688634947,0.4625495256346349,-0.6876335972201182,-0.002368265245707435,0,1122.0,1132.8954372623575,33.37190602777121,0.5760048259188234,-0.14505891401029958,,0.2519993980407651,1,,,,2004-01,34.224736842105266,34.224736842105266,,0,,0,36.14046
2004-01-07,33.62,33.68,33.89,33.05,81.68,20040107.0,1048.0,148.559814,138.649185,157.700592,139.287354,153.031586,nan,0.363897,0.158086,0.4325,0.331086,0.181948,2.693432,0.023862,1079,1362,1.0,125.5,1.0,121.75,1.0,126.75,1.0,114.75,623.74,0.31,86.2,85.86,86.27,85.73,0.67,,,,,,,35.07,2004-01-16,33.7,-0.05999999999999517,0.0799999999999983,1.0500000000000043,-1.0500000000000043,-0.0800000000000054,41.71638783269962,5.741636688634947,0.4625495256346349,-0.6876335972201182,-0.002373887240356254,0,1125.5,1132.8954372623575,33.37190602777121,0.5760048259188234,-0.14505891401029958,,0.15727984894768143,1,,,,2004-01,34.224736842105266,34.224736842105266,,0,,0,36.14046
2004-01-08,33.98,33.65,34.0,33.4,92.71,20040108.0,1216.0,128.03511,157.51442,90.608681,140.882996,140.769836,nan,0.363897,0.158086,0.4325,0.331086,0.181948,2.693432,0.023862,1079,1362,1.0,129.5,1.0,125.5,1.0,130.5,1.0,123.75,655.25,0.36,85.57,86.24,86.64,85.45,-0.73,,,,,,,36.2,2004-01-20,33.62,-0.060000000000002274,0.0800000000000054,0.8400000000000034,-0.8400000000000034,0.35999999999999943,41.71638783269962,5.741636688634947,0.4625495256346349,-0.6876335972201182,0.010707911957168248,0,1129.5,1132.8954372623575,33.37190602777121,0.5760048259188234,-0.14505891401029958,,-0.1381578466435074,1,,,25.50325000000001,2004-01,34.224736842105266,34.224736842105266,,0,,0,36.14046
2004-01-09,34.31,34.05,34.7,34.05,104.69,20040109.0,1127.0,144.024689,123.06974,161.310776,140.912048,137.767792,nan,0.363897,0.158086,0.4325,0.331086,0.181948,2.693432,0.023862,1079,1362,1.0,120.0,1.0,129.5,1.0,131.0,1.0,119.0,870.23,-0.84,85.11,85.51,85.94,84.97,-0.54,,,,,,,34.58,2004-01-21,33.98,0.3299999999999983,-0.35999999999999943,0.6000000000000014,-0.6000000000000014,0.3300000000000054,41.71638783269962,5.741636688634947,0.4625495256346349,-0.6876335972201182,0.009711595055915456,0,1120.0,1132.8954372623575,33.37190602777121,0.5760048259188234,-0.14505891401029958,,0.12488433055589199,1,,,15.654862000000008,2004-01,34.224736842105266,34.224736842105266,,0,,0,36.14046
2004-01-12,34.72,34.35,34.8,33.75,99.68,20040112.0,897.0,73.85881,80.994614,67.55751,138.453766,115.93222,nan,0.363897,0.158086,0.4325,0.331086,0.181948,2.693432,0.023862,1079,1362,1.0,128.25,1.0,119.5,1.0,128.5,1.0,118.25,636.42,0.74,85.55,85.12,85.57,84.8,0.52,,,,,,,34.93,2004-01-22,34.31,0.2600000000000051,-0.3300000000000054,0.6500000000000057,-0.6500000000000057,0.4099999999999966,41.71638783269962,5.741636688634947,0.4625495256346349,-0.6876335972201182,0.011949868842902944,0,1128.25,1132.8954372623575,33.37190602777121,0.5760048259188234,-0.14505891401029958,,-0.48717952100559647,1,,,-74.70100399999998,2004-01,34.224736842105266,34.224736842105266,,0,0.005906697717513892,0,35.99887
2004-01-13,34.43,34.8,35.2,34.34,120.13,20040113.0,1081.0,147.089035,171.075668,163.078857,141.029678,118.606392,nan,0.363897,0.158086,0.4325,0.331086,0.181948,2.693432,0.023862,1079,1362,1.0,121.25,1.0,128.25,1.0,129.25,1.0,113.75,739.98,-0.62,85.51,85.61,85.72,85.27,-0.05,,,,,,,34.94,2004-01-23,34.72,0.36999999999999744,-0.4099999999999966,1.0499999999999972,-1.0499999999999972,-0.28999999999999915,41.71638783269962,5.741636688634947,0.4625495256346349,-0.6876335972201182,-0.008352534562211966,0,1121.25,1132.8954372623575,33.37190602777121,0.5760048259188234,-0.14505891401029958,,0.9914893700561922,1,,,19.053924999999992,2004-01,34.224736842105266,34.224736842105266,,0,0.006815226081263687,0,36.07499
2004-01-14,34.5,34.3,34.74,34.12,126.27,20040114.0,1120.0,97.60244,82.55928,93.456383,139.943481,111.326767,nan,0.363897,0.158086,0.4325,0.331086,0.181948,2.693432,0.023862,1079,1362,1.0,131.25,1.0,121.25,1.0,132.5,1.0,119.25,530.13,0.89,86.03,85.33,86.16,85.32,0.61,,,,,,,34.47,2004-01-26,34.43,-0.36999999999999744,0.28999999999999915,0.8599999999999994,-0.8599999999999994,0.07000000000000028,41.71638783269962,5.741636688634947,0.4625495256346349,-0.6876335972201182,0.002033110659308779,0,1131.25,1132.8954372623575,33.37190602777121,0.5760048259188234,-0.14505891401029958,,-0.33643972849505743,1,,,-46.422248999999994,2004-01,34.224736842105266,34.224736842105266,,0,0.007909002262727258,0,35.99887
2004-01-15,33.44,34.57,35.41,33.27,102.44,20040115.0,1244.0,119.827614,132.731964,106.283104,139.324127,110.154266,nan,0.363897,0.158086,0.4325,0.331086,0.181948,2.693432,0.023862,1079,1362,1.0,133.25,1.0,129.75,1.0,136.5,1.0,123.0,876.17,0.18,86.56,86.09,86.63,86.02,0.62,,,,,,,34.12,2004-01-27,34.5,0.20000000000000284,-0.07000000000000028,0.6200000000000045,-0.6200000000000045,-1.0600000000000023,41.71638783269962,5.741636688634947,0.4625495256346349,-0.6876335972201182,-0.030724637681159517,0,1133.25,1132.8954372623575,33.37190602777121,0.5760048259188234,-0.14505891401029958,,0.22771125393996283,1,,,45.96880399999999,2004-01,34.224736842105266,34.224736842105266,0.016399062685168355,0,0.0078070156415380385,0,35.855392
2004-01-16,35.07,33.5,35.3,33.4,60.35,20040116.0,1139.0,95.974312,81.182083,106.407524,138.078232,103.289925,nan,0.363897,0.158086,0.4325,0.331086,0.181948,2.693432,0.023862,1079,1362,1.0,138.0,1.0,133.0,1.0,139.0,1.0,132.0,574.8,0.42,87.73,86.46,87.87,86.4,1.35,,,,,,,33.62,2004-01-28,33.44,-1.1300000000000026,1.0600000000000023,2.1399999999999935,-2.1399999999999935,1.6300000000000026,41.71638783269962,5.741636688634947,0.4625495256346349,-0.6876335972201182,0.048744019138756034,0,1138.0,1132.8954372623575,33.37190602777121,0.5760048259188234,-0.14505891401029958,,-0.19906348131074358,1,,,-51.114723,2004-01,34.224736842105266,34.224736842105266,0.015200542920609832,0,0.0059483831333120045,0,36.10905
